ID,Project Code,PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),Predicted_Pack_Price,Residuals,Cost_Saving_Potential
1618,111-MZ-T01,Pre-PQ Process,SCMS-17800,ASN-1368,Mozambique,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/19/2008,27-Mar-08,27-Mar-08,27-Mar-08,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,,Test kit,20,9000,288000.0,32.0,1.6,"Trinity Biotech, Plc",Yes,9000,55746.59,460.8,32.0,0.0,Low
1628,110-ZM-T01,Pre-PQ Process,SCMS-18030,ASN-1619,Zambia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/25/2008,14-May-08,14-May-08,14-May-08,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,,Test kit,20,6040,193280.0,32.0,1.6,"Trinity Biotech, Plc",Yes,2052,24689,309.25,32.0,0.0,Low
1634,110-ZM-T01,Pre-PQ Process,SCMS-18240,ASN-1789,Zambia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/29/2008,6-Jun-08,30-May-08,30-May-08,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,,Test kit - Ancillary,100,4300,43.0,0.01,0.0,Inverness Japan,Yes,284,Freight Included in Commodity Cost,0.07,0.010000000000000007,-6.938893903907228e-18,Low
1637,104-CI-T01,Pre-PQ Process,SCMS-18320,ASN-3465,C̫te d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/27/2008,4-Mar-09,4-Mar-09,4-Mar-09,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,,Test kit,20,289,7803.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,Yes,79,1104.69,15.29,27.02,-0.019999999999999574,Low
1638,111-MZ-T01,Pre-PQ Process,SCMS-18340,ASN-1746,Mozambique,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/27/2008,9-Jul-08,4-Jul-08,4-Jul-08,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,,Test kit,100,3000,215970.0,71.99,0.72,Inverness Japan,Yes,682,5298.9,345.55,71.98999999999984,1.5631940186722204e-13,Low
1643,104-CI-T01,Pre-PQ Process,SCMS-18420,ASN-1469,C̫te d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/28/2008,8-Apr-08,4-Apr-08,4-Apr-08,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,,Test kit - Ancillary,100,70,0.7,0.01,0.0,Inverness Japan,Yes,Weight Captured Separately,Invoiced Separately,0.0,0.016900000000000005,-0.006900000000000005,Low
1644,104-CI-T01,Pre-PQ Process,SCMS-18450,ASN-1934,C̫te d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/28/2008,22-Jul-08,22-Jul-08,22-Jul-08,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,,Test kit,100,1116,78120.0,70.0,0.7,Inverness Japan,Yes,255,5175.72,124.99,70.0,0.0,Low
1645,104-CI-T01,Pre-PQ Process,SCMS-18470,ASN-2887,C̫te d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/29/2008,19-Dec-08,19-Dec-08,19-Dec-08,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,,Test kit,100,1116,78120.0,70.0,0.7,Inverness Japan,Yes,256,7118.12,153.12,70.0,0.0,Low
1646,102-GY-T01,Pre-PQ Process,SCMS-18490,ASN-1612,Guyana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/28/2008,6-May-08,6-May-08,6-May-08,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,,Test kit,20,832,26624.0,32.0,1.6,"Trinity Biotech, Plc",Yes,832,3740.04,42.6,32.0,0.0,Low
1647,102-GY-T01,Pre-PQ Process,SCMS-18500,ASN-2100,Guyana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/28/2008,28-Jul-08,28-Jul-08,28-Jul-08,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,,Test kit,100,213,15333.87,71.99,0.72,Inverness Japan,Yes,49,959.46,24.53,71.98999999999984,1.5631940186722204e-13,Low
1648,102-BW-T01,Pre-PQ Process,SCMS-18550,ASN-1448,Botswana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,11-Apr-08,11-Apr-08,11-Apr-08,HRDT,HIV test,Orasure Technologies Inc.,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit",OraQuick,,Test kit,100,10,3500.0,350.0,3.5,"Pacific Biotech, Thailand",Yes,39,604,5.6,352.5,-2.5,Low
1660,113-ZW-T01,Pre-PQ Process,SCMS-18870,ASN-2435,Zimbabwe,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/17/2008,17-Nov-08,21-Oct-08,21-Oct-08,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,,Test kit - Ancillary,100,1634,16.34,0.01,0.0,Inverness Japan,Yes,Weight Captured Separately,Invoiced Separately,0.03,0.010000000000000007,-6.938893903907228e-18,Low
1673,116-ZA-T01,Pre-PQ Process,SCMS-19800,ASN-1665,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,2/20/2008,24-Apr-08,24-Apr-08,24-Apr-08,ARV,Adult,S. BUYS WHOLESALER,"Lopinavir/Ritonavir 133.3/33.3mg [Kaletra], capsules, cool, 2 x 90 Caps",Lopinavir/Ritonavir,Kaletra,133.3/33.3mg,Capsule,180,400,15760.0,39.4,0.22,ABBVIE (Abbott) Logis. UK,No,Weight Captured Separately,Freight Included in Commodity Cost,25.22,37.22220000000005,2.177799999999948,Low
1674,116-ZA-T01,Pre-PQ Process,SCMS-19800,ASN-1665,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,2/20/2008,24-Apr-08,24-Apr-08,24-Apr-08,ARV,Pediatric,S. BUYS WHOLESALER,"Ritonavir 80mg/ml [Norvir], oral solution, cool, Bottle, 90 ml",Ritonavir,Norvir,80mg/ml,Oral solution,90,6,47.28,7.88,0.09,ABBVIE (Abbott) France,No,Weight Captured Separately,Freight Included in Commodity Cost,0.08,7.863900000000002,0.016099999999998005,Low
1675,116-ZA-T01,Pre-PQ Process,SCMS-19800,ASN-1665,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,2/20/2008,24-Apr-08,24-Apr-08,24-Apr-08,ARV,Adult,S. BUYS WHOLESALER,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Viread,300mg,Tablet,30,500,10925.0,21.85,0.73,"Aspen-OSD, Port Elizabeth, SA",No,Weight Captured Separately,Freight Included in Commodity Cost,17.48,21.81349999999998,0.036500000000021515,Low
1691,108-VN-T01,Pre-PQ Process,SCMS-20180,ASN-1860,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/31/2008,7-Jul-08,20-Jun-08,20-Jun-08,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,10080,29232.0,2.9,0.05,"Aurobindo Unit III, India",Yes,507,4159.45,46.77,2.974100000000001,-0.07410000000000094,Low
1693,108-VN-T01,Pre-PQ Process,SCMS-20340,ASN-1754,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/31/2008,1-Jun-08,1-Jun-08,1-Jun-08,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,6720,77145.6,11.48,0.38,Mylan (formerly Matrix) Nashik,Yes,522,3796.05,123.43,11.815800000000007,-0.3358000000000061,Low
1719,104-CI-T01,Pre-PQ Process,SCMS-21270,ASN-1668,C̫te d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,4/7/2008,9-May-08,9-May-08,9-May-08,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,,Test kit - Ancillary,100,250,2.5,0.01,0.0,Inverness Japan,Yes,17,Freight Included in Commodity Cost,0.0,0.016900000000000005,-0.006900000000000005,Low
1722,116-ZA-T01,Pre-PQ Process,SCMS-21460,ASN-1667,South Africa,PMO - US,Direct Drop,DDP,,Pre-PQ Process,4/4/2008,25-Apr-08,7-Apr-08,7-Apr-08,ARV,Adult,S. BUYS WHOLESALER,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,300,4614.0,15.38,0.51,"Cipla, Goa, India",No,Weight Captured Separately,Freight Included in Commodity Cost,7.38,15.446200000000022,-0.06620000000002157,Low
1723,116-ZA-T01,Pre-PQ Process,SCMS-21460,ASN-2291,South Africa,PMO - US,Direct Drop,DDP,,Pre-PQ Process,4/4/2008,25-Apr-08,25-Apr-08,25-Apr-08,ARV,Adult,S. BUYS WHOLESALER,"Zidovudine 300mg [Retrovir], tablets, 60 Tabs",Zidovudine,Retrovir,300mg,Tablet,60,300,4155.0,13.85,0.23,GSK Aranda,Yes,Weight Captured Separately,Freight Included in Commodity Cost,6.65,13.705499999999983,0.14450000000001673,Low
1724,116-ZA-T01,Pre-PQ Process,SCMS-21460,ASN-1667,South Africa,PMO - US,Direct Drop,DDP,,Pre-PQ Process,4/4/2008,25-Apr-08,7-Apr-08,7-Apr-08,ARV,Adult,S. BUYS WHOLESALER,"Didanosine EC 250mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",Didanosine EC,Videx EC,250mg,Delayed-release capsules - blister,30,100,1849.0,18.49,0.62,"BMS Meymac, France",No,Weight Captured Separately,Freight Included in Commodity Cost,2.96,18.5863,-0.09630000000000294,Low
1730,102-NG-T01,Pre-PQ Process,SCMS-21580,ASN-1797,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,28-May-08,28-May-08,28-May-08,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,,Test kit - Ancillary,100,1130,11.3,0.01,0.0,Inverness Japan,Yes,Weight Captured Separately,Invoiced Separately,0.02,0.010000000000000007,-6.938893903907228e-18,Low
1797,108-VN-T01,Pre-PQ Process,SCMS-23370,ASN-2523,Vietnam,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,5/13/2008,3-Oct-08,3-Oct-08,3-Oct-08,ARV,Pediatric,BRISTOL-MYERS SQUIBB,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",Didanosine,Videx,25mg,Chewable/dispersible tablet,60,400,2800.0,7.0,0.12,"BMS Meymac, France",Yes,81,3013.09,4.48,7.0,0.0,Low
1798,108-VN-T01,Pre-PQ Process,SCMS-23470,ASN-2244,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,5/13/2008,19-Aug-08,19-Aug-08,19-Aug-08,ARV,Adult,STRIDES ARCOLAB LIMITED,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,10780,15631.0,1.45,0.02,"Strides, Bangalore, India.",Yes,502,7575.6,25.01,1.4601000000000004,-0.010100000000000442,Low
1801,116-ZA-T01,Pre-PQ Process,SCMS-23500,ASN-2293,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,Date Not Captured,20-Aug-08,8-May-08,8-May-08,ARV,Adult,S. BUYS WHOLESALER,"Lopinavir/Ritonavir 133.3/33.3mg [Kaletra], capsules, cool, 2 x 90 Caps",Lopinavir/Ritonavir,Kaletra,133.3/33.3mg,Capsule,180,670,24783.3,36.99,0.21,ABBVIE (Abbott) Logis. UK,No,Weight Captured Separately,Freight Included in Commodity Cost,39.65,34.98139999999995,2.008600000000051,Low
1802,116-ZA-T01,Pre-PQ Process,SCMS-23500,ASN-2296,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,Date Not Captured,20-Aug-08,21-May-08,21-May-08,ARV,Adult,S. BUYS WHOLESALER,"Lamivudine 150mg [Epivir], tablets, 60 Tabs",Lamivudine,Epivir,150mg,Tablet,60,2000,11060.0,5.53,0.09,GSK Cape Town Factory (South Africa),Yes,Weight Captured Separately,Freight Included in Commodity Cost,17.7,5.524399999999989,0.00560000000001093,Low
1803,116-ZA-T01,Pre-PQ Process,SCMS-23500,ASN-2300,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,Date Not Captured,20-Aug-08,14-May-08,14-May-08,ARV,Adult,S. BUYS WHOLESALER,"Zidovudine 300mg [Retrovir], tablets, 60 Tabs",Zidovudine,Retrovir,300mg,Tablet,60,1000,16630.0,16.63,0.28,GSK Aranda,Yes,Weight Captured Separately,Freight Included in Commodity Cost,26.61,16.23120000000002,0.39879999999998006,Low
1804,116-ZA-T01,Pre-PQ Process,SCMS-23500,ASN-2293,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,Date Not Captured,20-Aug-08,8-May-08,8-May-08,ARV,Pediatric,S. BUYS WHOLESALER,"Nevirapine 10mg/ml [Viramune], oral suspension, Bottle, 240 ml",Nevirapine,Viramune,10mg/ml,Oral suspension,240,30,435.9,14.53,0.06,"BI, Ingelheim, Germany",No,Weight Captured Separately,Freight Included in Commodity Cost,0.7,13.96159999999999,0.5684000000000093,Low
1820,106-HT-T01,Pre-PQ Process,SCMS-23980,ASN-2640,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,5/23/2008,27-Oct-08,27-Oct-08,27-Oct-08,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,,Test kit,100,1123,78610.0,70.0,0.7,Inverness Japan,Yes,257,2851.72,154.08,70.0,0.0,Low
1861,107-RW-T01,Pre-PQ Process,SCMS-25090,ASN-2256,Rwanda,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,6/12/2008,16-Aug-08,16-Aug-08,16-Aug-08,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Capillus HIV Kit, 100 Tests","HIV 1/2, Capillus HIV Kit",Capillus,,Test kit,100,340,47260.0,139.0,1.39,"Trinity Biotech, Plc",Yes,234,5446.06,75.62,139.36,-0.36000000000001364,Low
1888,107-RW-T01,Pre-PQ Process,SCMS-25520,ASN-2079,Rwanda,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,6/13/2008,23-Jul-08,22-Jul-08,22-Jul-08,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,47879,569281.31,11.89,0.2,"Aurobindo Unit III, India",Yes,5311,30408.04,910.85,11.74229999999999,0.14770000000001104,Low
1889,107-RW-T01,Pre-PQ Process,SCMS-25520,ASN-2080,Rwanda,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,6/13/2008,23-Jul-08,23-Jul-08,23-Jul-08,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,61021,725539.69,11.89,0.2,"Aurobindo Unit III, India",Yes,6768,38120.96,1160.86,11.66559999999999,0.22440000000000992,Low
1905,108-VN-T01,Pre-PQ Process,SCMS-26180,ASN-2274,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/1/2008,19-Sep-08,19-Sep-08,19-Sep-08,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,4300,37023.0,8.61,0.14,"Aurobindo Unit III, India",No,See ASN-2274 (ID#:610),See ASN-2274 (ID#:610),59.24,8.58620000000001,0.02379999999998894,Low
1919,108-VN-T01,Pre-PQ Process,SCMS-26190,ASN-2562,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/3/2008,3-Oct-08,3-Oct-08,3-Oct-08,ARV,Adult,Aurobindo Pharma Limited,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,18030,26143.5,1.45,0.02,"Aurobindo Unit III, India",Yes,1114,5822.44,41.83,1.4595000000000002,-0.009500000000000286,Low
1926,116-ZA-T01,Pre-PQ Process,SCMS-26820,ASN-2487,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,Date Not Captured,10-Jul-08,14-Jul-08,14-Jul-08,ARV,Adult,S. BUYS WHOLESALER,"Zidovudine 300mg [Retrovir], tablets, 60 Tabs",Zidovudine,Retrovir,300mg,Tablet,60,50,663.5,13.27,0.22,GSK Aranda,Yes,Weight Captured Separately,Freight Included in Commodity Cost,1.06,13.306199999999983,-0.036199999999983135,Low
1927,116-ZA-T01,Pre-PQ Process,SCMS-26820,ASN-2488,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,Date Not Captured,10-Jul-08,8-Jul-08,8-Jul-08,ARV,Pediatric,S. BUYS WHOLESALER,"Efavirenz 50mg [Stocrin/Sustiva], capsule, 30 Caps",Efavirenz,Stocrin/Sustiva,50mg,Capsule,30,250,715.0,2.86,0.1,"MSD Midrand, J'burg, SA",No,Weight Captured Separately,Freight Included in Commodity Cost,1.14,2.942000000000005,-0.08200000000000518,Low
1928,116-ZA-T01,Pre-PQ Process,SCMS-26820,ASN-2488,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,Date Not Captured,10-Jul-08,8-Jul-08,8-Jul-08,ARV,Adult,S. BUYS WHOLESALER,"Didanosine EC 250mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",Didanosine EC,Videx EC,250mg,Delayed-release capsules - blister,30,60,1096.2,18.27,0.61,"BMS Meymac, France",No,Weight Captured Separately,Freight Included in Commodity Cost,1.75,18.45199999999999,-0.1819999999999915,Low
1929,116-ZA-T01,Pre-PQ Process,SCMS-26820,ASN-2488,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,Date Not Captured,10-Jul-08,8-Jul-08,8-Jul-08,ARV,Pediatric,S. BUYS WHOLESALER,"Didanosine 2g [Videx], powder for oral solution 10mg/ml, reconstitute to 200 ml",Didanosine,Videx,2g,Powder for oral solution,200,12,150.48,12.54,0.06,"BMS Meymac, France",No,Weight Captured Separately,Freight Included in Commodity Cost,0.24,12.815399999999988,-0.27539999999998876,Low
1939,110-ZM-T01,Pre-PQ Process,SCMS-27010,ASN-2448,Zambia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,8/21/2008,22-Sep-08,22-Sep-08,22-Sep-08,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,,Test kit - Ancillary,100,3000,30.0,0.01,0.0,Inverness Japan,Yes,889,7303.52,0.05,0.010000000000000007,-6.938893903907228e-18,Low
1940,102-GY-T01,Pre-PQ Process,SCMS-27030,ASN-2638,Guyana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,8/21/2008,29-Oct-08,29-Oct-08,29-Oct-08,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,,Test kit,100,213,15333.87,71.99,0.72,Inverness Japan,Yes,49,1047.39,30.05,71.98999999999984,1.5631940186722204e-13,Low
1941,133-NG-T01,Pre-PQ Process,SCMS-27060,ASN-2438,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/18/2008,15-Oct-08,15-Oct-08,15-Oct-08,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,,Test kit - Ancillary,100,6502,65.02,0.01,0.0,Inverness Japan,Yes,1927,24870.05,0.1,0.010000000000000007,-6.938893903907228e-18,Low
1942,133-NG-T01,Pre-PQ Process,SCMS-27070,ASN-2352,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,8/21/2008,12-Sep-08,12-Sep-08,12-Sep-08,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,,Test kit,100,6875,549931.25,79.99,0.8,Inverness Japan,Yes,1566,19992.75,879.89,79.66999999999983,0.3200000000001637,Low
1954,108-VN-T01,Pre-PQ Process,SCMS-27290,ASN-2854,Vietnam,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,7/24/2008,2-Dec-08,2-Dec-08,2-Dec-08,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,434,35674.8,82.2,0.68,ABBVIE Ludwigshafen Germany,Yes,113,2709.98,69.92,82.02949999999986,0.1705000000001462,Low
1955,108-VN-T01,Pre-PQ Process,SCMS-27310,ASN-2809,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/24/2008,24-Nov-08,24-Nov-08,24-Nov-08,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,1100,12540.0,11.4,0.19,"Aurobindo Unit III, India",Yes,159,2568.6,24.58,11.314499999999994,0.08550000000000679,Low
1956,108-VN-T01,Pre-PQ Process,SCMS-27350,ASN-2766,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/24/2008,25-Nov-08,25-Nov-08,25-Nov-08,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,8400,85596.0,10.19,0.34,Mylan (formerly Matrix) Nashik,Yes,613,3247.73,167.77,10.705800000000018,-0.5158000000000182,Low
1957,108-VN-T01,Pre-PQ Process,SCMS-27380,ASN-2873,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/24/2008,3-Dec-08,3-Dec-08,3-Dec-08,ARV,Adult,CIPLA LIMITED,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,3648,26448.0,7.25,0.12,"Cipla, Goa, India",Yes,323,2335.19,51.84,7.340099999999995,-0.09009999999999518,Low
1971,102-GY-T01,Pre-PQ Process,SCMS-27680,ASN-2910,Guyana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/28/2008,15-Dec-08,15-Dec-08,15-Dec-08,MRDT,Malaria,ZEPHYR BIOMEDICALS,"Malaria Paramax-3 Kit, 25 Tests",Malaria Paramax-3 Kit,Paramax,,Test kit,25,108,4050.0,37.5,1.5,Not Applicable,Yes,34,648.27,7.94,36.859300000000005,0.6406999999999954,Low
1972,117-ET-T01,Pre-PQ Process,SCMS-27800,ASN-2592,Ethiopia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/30/2008,3-Nov-08,13-Oct-08,13-Oct-08,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,,Test kit,20,5958,160866.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,Yes,2147,11066.17,257.39,27.0,0.0,Low
1973,117-ET-T01,Pre-PQ Process,SCMS-27800,ASN-2747,Ethiopia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/30/2008,3-Nov-08,3-Nov-08,3-Nov-08,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,,Test kit,20,3982,107514.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,Yes,1445,7303.25,210.73,27.0,0.0,Low
2008,117-ET-T01,Pre-PQ Process,SCMS-28710,ASN-2576,Ethiopia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,8/22/2008,7-Oct-08,7-Oct-08,7-Oct-08,HRDT,HIV test,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)","HIV 1/2, SKB Colloidal Gold, Diagnostic Kit, Antibody, 50 Tests","HIV 1/2, Colloidal Gold, Diagnostic Kit, Antibody",Colloidal Gold,,Test kit,1,6998,160954.0,23.0,23.0,"KHB Test Kit Facility, Shanghai China",Yes,5057,44347.71,257.53,23.07,-0.07000000000000028,Low
2014,116-ZA-T01,Pre-PQ Process,SCMS-28830,ASN-2503,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,Date Not Captured,25-Aug-08,14-Aug-08,14-Aug-08,ARV,Adult,S. BUYS WHOLESALER,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Viread,300mg,Tablet,30,300,7080.0,23.6,0.79,"Aspen-OSD, Port Elizabeth, SA",Yes,Weight Captured Separately,Freight Included in Commodity Cost,11.33,23.4512,0.14880000000000138,Low
